,mean,std,Mean ± Std
Accuracy,0.8501153300212918,0.0062766538054235535,0.8501 ± 0.0063
Precision,0.9280514227118303,0.0021925129990958132,0.9281 ± 0.0022
Recall,0.7986129509857398,0.011825556934764066,0.7986 ± 0.0118
F1-score,0.8584415725127558,0.006874520041730669,0.8584 ± 0.0069
