Run,Seed,Accuracy,Precision,Recall,F1-score
1,42,0.8425301632363378,0.9301269576498934,0.782124211018468,0.8497290890619709
2,7,0.8502484031227822,0.9285002265518804,0.7984103483207357,0.8585553879671528
3,21,0.8559705464868701,0.927488405280057,0.8103327359152186,0.8649615304637138
4,100,0.8565915542938254,0.9295686414891713,0.8093976466921219,0.8653309451410006
5,2024,0.845235982966643,0.9245728825881497,0.7927998129821554,0.8536309099299408
